id,word,phrase,movie
0,mössa,Mina barn bråkar alltid om att de inte vill ha mössa på sig när de ska gå ut.,mossa-00003-fras-1.mp4
0,mössa,Om det är kallt ute är det bäst att ta på sig mössan.,mossa-00003-fras-2.mp4
0,mössa,Det är jobbigt att ha mössa för den förstör frisyren.,mossa-00003-fras-3.mp4
1,Indien,Indien är verkligen ett stort och vackert land.,indien-00004-fras-1.mp4
1,Indien,Du kommer märka att det bor väldigt mycket folk i Indien när du kommer dit. ,indien-00004-fras-2.mp4
2,himmel,Himlen är alldeles klarblå.,himmel-00005-fras-1.mp4
2,himmel,Jag undrar om vi kommer till himlen när vi dör?,himmel-00005-fras-2.mp4
3,förstår inte,"alt 1. Professorn föreläste om kroppen och det gick mig fullständigt över huvudet.
alt 2. Professorn föreläste om kroppen och jag förstod absolut ingenting.",forstar-inte-00006-fras-1.mp4
3,förstår inte,"Om du inte förstod genomgången på lektionen, varför räckte du inte upp handen och frågade? ",forstar-inte-00006-fras-2.mp4
4,ansikte,Första gången jag såg ditt ansikte såg jag hur vackert det är.,ansikte-00007-fras-1.mp4
4,ansikte,Min syster har så vackert ansikte. Hon skulle passa som modell.,ansikte-00007-fras-2.mp4
5,mimik,Den kända skådespelaren är otroligt skicklig med sin mimik.,mimik-00008-fras-1.mp4
5,mimik,Måste verkligen skådespelare ha kraftfull mimik?,mimik-00008-fras-2.mp4
6,yngst,Jag är yngst av alla mina kusiner.,yngst-00009-fras-1.mp4
7,björn,På ett zoo finns det olika typer av björnar.,bjorn-00010-fras-1.mp4
7,björn,I Norrland finns det gott om björn men jag undrar om det finns björn i Örebro?,bjorn-00010-fras-2.mp4
7,björn,Min pappa kan se farlig ut men han är egentligen snäll som en björn. ,bjorn-00010-fras-3.mp4
8,fjäska,Hen håller alltid på och fjäskar för chefen.,fjaska-00101-fras-1.mp4
8,fjäska,Erkänn att du försöker du ställa in dig hos hen för att du ska få gratis mat? ,fjaska-00101-fras-2.mp4
9,presentera,Jag ska presentera mig. Jag heter Magnus.,presentera-00102-fras-1.mp4
9,presentera,Det är artigt att presentera sig först.,presentera-00102-fras-2.mp4
10,få tyst på,Jag sade ifrån och då blev alla tysta.,fa-tyst-pa-00103-fras-1.mp4
11,groda,När jag var liten var jag väldigt intresserad av att samla på grodor.,groda-00104-fras-1.mp4
11,groda,Jag har en film hemma som handlar om grodor. Den är min dotter så förtjust i.,groda-00104-fras-2.mp4
11,groda,Om grodan är svart och gul så är den giftig.,groda-00104-fras-3.mp4
11,groda,Det finns 260 olika typer av grodor i världen.,groda-00104-fras-4.mp4
12,sjö,Jag badar hellre i en sjö än i havet.,sjo-00105-fras-1.mp4
12,sjö,Sveriges största sjö heter Vänern.,sjo-00105-fras-2.mp4
12,sjö,Jag badar hellre i havet än i en sjö.,sjo-00105-fras-3.mp4
