id,word,description
15889,råd,"4-händer, uppåtriktade och framåtvända, kontakt med varandra, förs framåt i en utåtgående båge samtidigt som de vrids inåt, kontakt"
08720,centralt,"Pekfingret, nedåtriktat och inåtvänt, förs i vänstergående cirkel ovanför flata handen, högerriktad och uppåtvänd, förs slutligen nedåt till kontakt"
13813,60 skott liggande,"Tumhanden, uppåtriktad och inåtvänd, förs kort nedåt samtidigt som tummen böjs //
Tumhanden, vänsterriktad och inåtvänd, upprepade kontakter bredvid flata handen, framåtriktad och högervänd //
V-handen, framåtriktad och uppåtvänd, kontakt ovanpå flata handen, framåtriktad och uppåtvänd"
10631,mixa,"Pekfingret, uppåtriktat och inåtvänt, förs i vänstergående cirklar"
11678,transitiv,Bokstaveras: T-R-A-N-S-I-T-I-V
18727,värma upp,"Flata handen, vänsterriktad och inåtvänd, förs åt höger med medial kontakt med hakan //
Flata händer, framåtriktade och uppåtvända, förs uppåt"
03027,resurs,"Pekfingret, uppåtriktat och inåtvänt, förs uppåt med medial kontakt bakom flata handen, högerriktad och inåtvänd, upprepas"
18802,mindre,"L-handen, uppåtriktad och framåtvänd, förs kort nedåt samtidigt som den förändras till raka måtthanden"
08025,fyrkantig,"Flata händer, uppåtriktade och vända mot varandra, förs kort framåt //
Flata händer, riktade mot varandra och nedåtvända, den högra ovanför den vänstra, förs kort framåt"
16288,ta på sig mössa,"Knutna händer, uppåtriktade och vända mot varandra, förs nedåt vid respektive sida av huvudet"
12882,funktionshinder,"Sprethänder, riktade mot varandra och inåtvända, slås upp och ned ett par gånger flätade i varandra //
Vinkelhanden, framåtriktad och vänstervänd, upprepade kontakter bredvid flata handen, framåtriktad och högervänd"
19420,schema,"Sprethanden, framåtriktad och nedåtvänd, förs nedåt med medial kontakt bakom sprethanden, högerriktad och inåtvänd //
Sprethanden, vänsterriktad och inåtvänd, förs åt höger med medial kontakt bakom sprethanden, högerriktad och inåtvänd"
10825,fälla kort,"V-handen, nedåtriktad och inåtvänd, förs kort nedåt samtidigt som den vrids åt vänster"
05503,utomhus,"Vinkelhanden, vänsterriktad och nedåtvänd, upprepade kontakter ovanpå höger axel"
